!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
rate of reaction	TPI	2.90E-04	3.10E-04	4.80E-04	5.00E-04	5.00E-04	5.20E-04	6.10E-04	6.10E-04	6.90E-04	7.10E-04	7.10E-04	8.00E-04	8.20E-04	4.90E-04	9.10E-04	9.30E-04	7.80E-04	7.20E-04	1.00E-03	1.00E-03	2.10E-03	1.10E-03	1.10E-03	1.10E-03	1.10E-03	1.20E-03	1.20E-03	1.30E-03	1.40E-03	1.40E-03	1.50E-03	R01015
rate of reaction	TRPAS2_reverse	1.70E-06	1.90E-06	3.20E-06	3.30E-06	3.30E-06	3.50E-06	4.10E-06	4.10E-06	4.70E-06	4.90E-06	4.90E-06	5.50E-06	5.70E-06	6.30E-06	6.30E-06	6.50E-06	6.60E-06	6.90E-06	7.30E-06	7.30E-06	7.40E-06	7.40E-06	7.70E-06	7.90E-06	8.10E-06	8.70E-06	8.70E-06	9.20E-06	9.90E-06	1.00E-05	1.00E-05	
rate of reaction	TYRL	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	
rate of reaction	U23GAAT	1.20E-06	1.30E-06	2.20E-06	2.30E-06	2.30E-06	2.40E-06	2.80E-06	2.80E-06	3.20E-06	3.40E-06	3.40E-06	3.80E-06	3.90E-06	4.30E-06	4.30E-06	4.40E-06	4.50E-06	4.80E-06	5.00E-06	5.00E-06	5.10E-06	5.10E-06	5.30E-06	5.40E-06	5.50E-06	5.90E-06	5.90E-06	6.30E-06	6.80E-06	7.00E-06	7.10E-06	R04550
rate of reaction	UAAGDS	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	
rate of reaction	UAGCVT	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	R00660
rate of reaction	UAGDP	2.90E-06	3.10E-06	5.20E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.10E-06	8.10E-06	9.20E-06	9.40E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	UAGPT3	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	
rate of reaction	UAMAGS	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	R02783
rate of reaction	UAMAS	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	R03193
rate of reaction	UAPGR	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	R03192
rate of reaction	UDCPDPS	1.70E-09	1.80E-09	3.10E-09	3.20E-09	3.20E-09	3.40E-09	4.00E-09	4.00E-09	4.60E-09	4.70E-09	4.70E-09	5.30E-09	5.50E-09	6.10E-09	6.10E-09	6.30E-09	6.40E-09	6.70E-09	7.00E-09	7.00E-09	7.20E-09	7.20E-09	7.50E-09	7.60E-09	7.80E-09	8.40E-09	8.40E-09	8.90E-09	9.60E-09	9.90E-09	1.00E-08	
rate of reaction	UGMDDS	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	
rate of reaction	UHGADA	1.20E-06	1.30E-06	2.20E-06	2.30E-06	2.30E-06	2.40E-06	2.80E-06	2.80E-06	3.20E-06	3.40E-06	3.40E-06	3.80E-06	3.90E-06	4.30E-06	4.30E-06	4.40E-06	4.50E-06	4.80E-06	5.00E-06	5.00E-06	5.10E-06	5.10E-06	5.30E-06	5.40E-06	5.50E-06	5.90E-06	5.90E-06	6.30E-06	6.80E-06	7.00E-06	7.10E-06	R04587
rate of reaction	UPP3S	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R03165
rate of reaction	UPPDC1	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R03197
rate of reaction	VALTA_reverse	1.30E-05	1.40E-05	2.40E-05	2.50E-05	2.50E-05	2.60E-05	3.10E-05	3.10E-05	3.50E-05	3.60E-05	3.60E-05	4.10E-05	4.20E-05	4.70E-05	4.70E-05	4.80E-05	4.90E-05	5.20E-05	5.40E-05	5.40E-05	5.50E-05	5.50E-05	5.80E-05	5.90E-05	6.00E-05	6.50E-05	6.50E-05	6.80E-05	7.40E-05	7.60E-05	7.80E-05	
